AOUT1:1
AOUT2:1
CV1:1
CV2:1
CV3:1
D1:1
D2:1
H1:1
J1:1
J2:1
J3:1
MIDI_IN1:1
RV1:1
RV2:1
SW1:1
SW3:1
SW4:1
